
  696678 function calls (696668 primitive calls) in 3.955 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        4    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
      4/2    0.000    0.000    0.000    0.000 sre_parse.py:140(getwidth)
        1    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1774(_loadtk)
        4    0.000    0.000    0.000    0.000 random.py:358(uniform)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3316(PhotoImage)
      4/2    0.000    0.000    0.000    0.000 sre_parse.py:301(_parse_sub)
        2    0.000    0.000    0.000    0.000 sre_parse.py:677(parse)
       22    0.000    0.000    0.000    0.000 {isinstance}
        2    0.000    0.000    0.000    0.000 sre_compile.py:178(_compile_charset)
       28    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2880(Text)
       24    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2183(Canvas)
        1    0.000    0.000    0.000    0.000 graphics.py:206(GraphWin)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1535(Wm)
       14    0.000    0.000    0.000    0.000 sre_parse.py:201(get)
        2    0.000    0.000    0.000    0.000 {built-in method getvar}
        4    0.000    0.000    0.000    0.000 random.py:273(choice)
        5    0.000    0.000    0.000    0.000 {math.sqrt}
        1    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1145(_register)
        1    0.000    0.000    0.001    0.001 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2649(Menu)
        4    0.000    0.000    0.000    0.000 os.py:421(__setitem__)
        5    0.000    0.000    0.000    0.000 alg.py:38(__init__)
        4    0.000    0.000    0.000    0.000 os.py:444(__contains__)
        8    0.000    0.000    0.000    0.000 sre_parse.py:130(__getitem__)
        3    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
        2    0.000    0.000    0.001    0.000 sre_compile.py:478(_code)
        1    0.000    0.000    0.000    0.000 Tkconstants.py:4(<module>)
       34    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
       16    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
        1    0.000    0.000    0.000    0.000 {_ctypes.LoadLibrary}
        1    0.000    0.000    0.000    0.000 mbcs.py:38(getregentry)
        1    0.000    0.000    0.000    0.000 graphics.py:724(Text)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        1    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        1    0.000    0.000    0.000    0.000 ntpath.py:173(split)
        1    0.000    0.000    0.000    0.000 {math.exp}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2558(Listbox)
        3    0.000    0.000    0.000    0.000 {built-in method createcommand}
        1    0.000    0.000    0.000    0.000 {time.time}
        3    0.000    0.000    0.000    0.000 alg.py:53(__init__)
        6    0.000    0.000    0.000    0.000 {getattr}
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1697(wm_protocol)
        6    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.011    0.011 random.py:91(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1960(Grid)
        2    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 Tkinter.py:3571(PanedWindow)
        1    0.000    0.000    0.000    0.000 alg.py:28(medium_house)
        2    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        1    0.000    0.000    0.000    0.000 {_codecs.mbcs_decode}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2453(Entry)
        1    0.000    0.000    0.000    0.000 graphics.py:440(GraphicsObject)
        4    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
        1    0.000    0.000    0.000    0.000 Tkinter.py:198(Variable)
        1    0.000    0.000    0.011    0.011 Tkinter.py:962(update)
        1    0.000    0.000    0.000    0.000 __init__.py:432(__getattr__)
        1    0.000    0.000    0.000    0.000 random.py:805(SystemRandom)
        1    0.000    0.000    0.000    0.000 random.py:655(WichmannHill)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3391(Spinbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2840(Scrollbar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1740(Tk)
        2    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
        2    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        1    0.000    0.000    0.011    0.011 graphics.py:190(update)
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
        4    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
        1    0.000    0.000    0.000    0.000 alg.py:13(small_house)
        1    0.000    0.000    0.000    0.000 graphics.py:576(_BBox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3256(Image)
        8    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        4    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1865(Pack)
        8    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 graphics.py:783(Entry)
        2    0.000    0.000    0.001    0.001 re.py:188(compile)
        2    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        1    0.000    0.000    0.000    0.000 Tkinter.py:342(BooleanVar)
        1    0.000    0.000    0.000    0.000 graphics.py:550(Point)
        4    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
        1    0.000    0.000    0.000    0.000 graphics.py:874(Image)
        1    0.000    0.000    0.000    0.000 {_ctypes.set_conversion_mode}
        1    0.000    0.000    0.000    0.000 ntpath.py:198(splitext)
        1    0.000    0.000    0.000    0.000 alg.py:43(big_house)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1733(wm_withdraw)
        5    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2104(Button)
        1    0.000    0.000    0.000    0.000 mbcs.py:20(decode)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        2    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1910(Place)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2807(Scale)
        2    0.000    0.000    0.000    0.000 {hasattr}
        1    0.000    0.000    0.000    0.000 Tkinter.py:298(IntVar)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2013(BaseWidget)
        1    0.000    0.000    0.000    0.000 ntpath.py:205(basename)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        2    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        1    0.000    0.000    0.000    0.000 graphics.py:663(Line)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2424(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha384}
        4    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
        1    0.000    0.000    0.000    0.000 mbcs.py:23(IncrementalEncoder)
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 Tkinter.py:1493(XView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1514(YView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2780(Radiobutton)
        1    0.000    0.000    0.000    0.000 graphics.py:402(Transform)
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1E229458}
        3    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.000    0.000 graphics.py:691(Polygon)
        1    0.000    0.000    0.000    0.000 Tkinter.py:323(DoubleVar)
